date,NZD exchange rate
2000-1-30,1.9455252918287937
2000-2-28,2.0366598778004072
2000-3-30,2.0366598778004072
2000-4-29,2.0120724346076457
2000-5-30,2.1231422505307855
2000-6-29,2.127659574468085
2000-7-30,2.1691973969631237
2000-8-30,2.242152466367713
2000-9-29,2.3866348448687353
2000-10-30,2.4937655860349124
2000-11-29,2.506265664160401
2000-12-30,2.336448598130841
2001-1-30,2.247191011235955
2001-2-27,2.2988505747126435
2001-3-30,2.380952380952381
2001-4-29,2.4570024570024573
2001-5-30,2.3696682464454977
2001-6-29,2.4096385542168677
2001-7-30,2.444987775061125
2001-8-30,2.320185614849188
2001-9-29,2.380952380952381
2001-10-30,2.4154589371980677
2001-11-29,2.4038461538461537
2001-12-30,2.4038461538461537
2002-1-30,2.3529411764705883
2002-2-27,2.3866348448687353
2002-3-30,2.314814814814815
2002-4-29,2.2573363431151243
2002-5-30,2.1739130434782608
2002-6-29,2.0408163265306123
2002-7-30,2.074688796680498
2002-8-30,2.155172413793103
2002-9-29,2.127659574468085
2002-10-30,2.079002079002079
2002-11-29,2.0120724346076457
2002-12-30,1.9607843137254901
2003-1-30,1.8484288354898335
2003-2-27,1.8083182640144664
2003-3-30,1.8050541516245486
2003-4-29,1.8148820326678765
2003-5-30,1.7361111111111112
2003-6-29,1.721170395869191
2003-7-30,1.7064846416382253
2003-8-30,1.718213058419244
2003-9-29,1.7123287671232879
2003-10-30,1.663893510815308
2003-11-29,1.5923566878980893
2003-12-30,1.5455950540958268
2004-1-30,1.488095238095238
2004-2-28,1.4450867052023122
2004-3-30,1.51285930408472
2004-4-29,1.557632398753894
2004-5-30,1.6233766233766234
2004-6-29,1.589825119236884
2004-7-30,1.5455950540958268
2004-8-30,1.529051987767584
2004-9-29,1.5174506828528072
2004-10-30,1.4641288433382136
2004-11-29,1.430615164520744
2004-12-30,1.400560224089636
2005-1-30,1.4204545454545456
2005-2-27,1.400560224089636
2005-3-30,1.3679890560875514
2005-4-29,1.3908205841446455
2005-5-30,1.3908205841446455
2005-6-29,1.4104372355430184
2005-7-30,1.4727540500736376
2005-8-30,1.4388489208633095
2005-9-29,1.4285714285714286
2005-10-30,1.4326647564469914
2005-11-29,1.4492753623188408
2005-12-30,1.4367816091954024
2006-1-30,1.4534883720930234
2006-2-27,1.4858841010401187
2006-3-30,1.572327044025157
2006-4-29,1.6129032258064517
2006-5-30,1.5847860538827259
2006-6-29,1.6155088852988693
2006-7-30,1.6207455429497568
2006-8-30,1.5797788309636651
2006-9-29,1.5267175572519083
2006-10-30,1.5151515151515151
2006-11-29,1.4947683109118086
2006-12-30,1.4450867052023122
2007-1-30,1.4388489208633095
2007-2-27,1.4409221902017293
2007-3-30,1.4326647564469914
2007-4-29,1.3605442176870748
2007-5-30,1.364256480218281
2007-6-29,1.3227513227513228
2007-7-30,1.272264631043257
2007-8-30,1.3717421124828533
2007-9-29,1.394700139470014
2007-10-30,1.314060446780552
2007-11-29,1.3123359580052494
2007-12-30,1.3003901170351104
2008-1-30,1.2953367875647668
2008-2-28,1.2547051442910915
2008-3-30,1.2453300124533
2008-4-29,1.2658227848101264
2008-5-30,1.287001287001287
2008-6-29,1.314060446780552
2008-7-30,1.3245033112582782
2008-8-30,1.4084507042253522
2008-9-29,1.4814814814814814
2008-10-30,1.6286644951140066
2008-11-29,1.7699115044247788
2008-12-30,1.7953321364452421
2009-1-30,1.8083182640144664
2009-2-27,1.941747572815534
2009-3-30,1.8832391713747645
2009-4-29,1.7513134851138354
2009-5-30,1.669449081803005
2009-6-29,1.5698587127158556
2009-7-30,1.5527950310559007
2009-8-30,1.4814814814814814
2009-9-29,1.4245014245014247
2009-10-30,1.3550135501355014
2009-11-29,1.3679890560875514
2009-12-30,1.3966480446927374
2010-1-30,1.3736263736263736
2010-2-27,1.4347202295552368
2010-3-30,1.4224751066856332
2010-4-29,1.404494382022472
2010-5-30,1.430615164520744
2010-6-29,1.443001443001443
2010-7-30,1.4064697609001406
2010-8-30,1.3986013986013988
2010-9-29,1.3774104683195594
2010-10-30,1.3333333333333333
2010-11-29,1.2936610608020698
2010-12-30,1.3333333333333333
2011-1-30,1.3071895424836601
2011-2-27,1.3123359580052494
2011-3-30,1.349527665317139
2011-4-29,1.272264631043257
2011-5-30,1.2562814070351758
2011-6-29,1.2269938650306749
2011-7-30,1.1820330969267139
2011-8-30,1.1933174224343677
2011-9-29,1.2285012285012287
2011-10-30,1.2690355329949239
2011-11-29,1.2936610608020698
2011-12-30,1.2987012987012987
2012-1-30,1.2484394506866416
2012-2-28,1.1990407673860912
2012-3-30,1.218026796589525
2012-4-29,1.221001221001221
2012-5-30,1.2886597938144329
2012-6-29,1.282051282051282
2012-7-30,1.2531328320802004
2012-8-30,1.2345679012345678
2012-9-29,1.2239902080783354
2012-10-30,1.2195121951219512
2012-11-29,1.221001221001221
2012-12-30,1.2019230769230769
2013-1-30,1.1933174224343677
2013-2-27,1.1918951132300357
2013-3-30,1.2077294685990339
2013-4-29,1.1806375442739079
2013-5-30,1.2091898428053205
2013-6-29,1.2642225031605563
2013-7-30,1.2690355329949239
2013-8-30,1.2626262626262625
2013-9-29,1.2300123001230012
2013-10-30,1.1976047904191618
2013-11-29,1.2091898428053205
2013-12-30,1.2150668286755772
2014-1-30,1.2077294685990339
2014-2-27,1.2062726176115803
2014-3-30,1.1737089201877935
2014-4-29,1.160092807424594
2014-5-30,1.1614401858304297
2014-6-29,1.160092807424594
2014-7-30,1.1494252873563218
2014-8-30,1.1848341232227488
2014-9-29,1.2239902080783354
2014-10-30,1.2706480304955527
2014-11-29,1.277139208173691
2014-12-30,1.2886597938144329
2015-1-30,1.3089005235602094
2015-2-27,1.3440860215053763
2015-3-30,1.3386880856760375
2015-4-29,1.3192612137203166
2015-5-30,1.3531799729364005
2015-6-29,1.430615164520744
2015-7-30,1.5037593984962405
2015-8-30,1.5267175572519083
2015-9-29,1.5797788309636651
2015-10-29,1.4992503748125936
2015-11-29,1.5220700152207
2015-12-30,1.4836795252225519
2016-1-30,1.5337423312883436
2016-2-28,1.5082956259426847
2016-3-30,1.4858841010401187
2016-4-29,1.451378809869376
2016-5-30,1.4705882352941175
2016-6-29,1.4224751066856332
2016-7-30,1.404494382022472
2016-8-30,1.3831258644536653
2016-9-29,1.3679890560875514
2016-10-30,1.3966480446927374
2016-11-29,1.3986013986013988
2016-12-30,1.4184397163120568
2017-1-30,1.402524544179523
2017-2-27,1.3850415512465375
2017-3-30,1.4265335235378032
2017-4-29,1.4326647564469914
2017-5-30,1.4409221902017293
2017-6-29,1.3831258644536653
2017-7-30,1.3605442176870748
2017-8-30,1.3679890560875514
2017-9-29,1.3793103448275863
2017-10-30,1.41643059490085
2017-11-29,1.451378809869376
2017-12-30,1.4388489208633095
2018-1-30,1.3774104683195594
2018-2-27,1.3679890560875514
2018-3-30,1.3774104683195594
2018-4-29,1.3774104683195594
2018-5-30,1.4388489208633095
2018-6-29,1.4409221902017293
2018-7-30,1.4727540500736376
2018-8-30,1.4992503748125936
2018-9-29,1.5151515151515151
2018-10-30,1.5313935681470137
2018-11-29,1.4771048744460855
2018-12-30,1.4641288433382136
2019-1-30,1.4749262536873156
2019-2-27,1.461988304093567
2019-3-30,1.4641288433382136
2019-4-29,1.4858841010401187
2019-5-30,1.524390243902439
2019-6-29,1.5151515151515151
2019-7-30,1.497005988023952
2019-8-30,1.5527950310559007
2019-9-29,1.5772870662460567
2019-10-30,1.5772870662460567
2019-11-29,1.5625
2019-12-30,1.5174506828528072
2020-1-30,1.51285930408472
2020-2-28,1.5625
2020-3-30,1.6528925619834711
2020-4-29,1.669449081803005
2020-5-30,1.6420361247947455
2020-6-29,1.5503875968992247
2020-7-30,1.5174506828528072
2020-8-30,1.5151515151515151
2020-9-29,1.4992503748125936
2020-10-30,1.5082956259426847
2020-11-29,1.4577259475218658
2020-12-30,1.4104372355430184
2021-1-30,1.3908205841446455
2021-2-27,1.3812154696132597
2021-3-30,1.400560224089636
2021-4-29,1.402524544179523
2021-5-30,1.3850415512465375
2021-6-29,1.4064697609001406
2021-7-30,1.4326647564469914
2021-8-30,1.4347202295552368
2021-9-29,1.41643059490085
2021-10-30,1.4204545454545456
2021-11-29,1.4224751066856332
2021-12-30,1.4727540500736376
2022-1-30,1.4836795252225519
2022-2-27,1.4992503748125936
2022-3-30,1.4577259475218658
2022-4-29,1.4749262536873156
2022-5-30,1.5625
2022-6-29,1.574803149606299
2022-7-30,1.6129032258064517
2022-8-30,1.597444089456869
2022-9-29,1.680672268907563
2022-10-30,1.7574692442882252
2022-11-29,1.6528925619834711
2022-12-30,1.574803149606299
2023-1-30,1.5600624024960998
2023-2-27,1.5873015873015872
2023-3-30,1.6129032258064517
2023-4-29,1.6103059581320451
2023-5-30,1.607717041800643
2023-6-29,1.6313213703099512
2023-7-30,1.607717041800643
2023-8-30,1.6666666666666667
2023-9-29,1.6863406408094437
